min_name,agc_name
กระทรวงพลังงาน,สำนักงานนโยบายและแผนพลังงาน
กระทรวงพาณิชย์,สำนักงานปลัดกระทรวงพาณิชย์
กระทรวงพาณิชย์,กรมการค้าต่างประเทศ
กระทรวงพาณิชย์,กรมการค้าภายใน
กระทรวงพาณิชย์,กรมเจรจาการค้าระหว่างประเทศ
กระทรวงพาณิชย์,กรมทรัพย์สินทางปัญญา
กระทรวงพาณิชย์,กรมพัฒนาธุรกิจการค้า
กระทรวงพาณิชย์,กรมส่งเสริมการค้าระหว่างประเทศ
กระทรวงพาณิชย์,สถาบันส่งเสริมศิลปหัตถกรรมไทย (องค์การมหาชน)
กระทรวงพาณิชย์,สถาบันวิจัยและพัฒนาอัญมณีและเครื่องประดับแห่งชาติ (องค์การมหาชน)
กระทรวงพาณิชย์,สำนักงานนโยบายและยุทธศาสตร์การค้า
กระทรวงพาณิชย์,สถาบันระหว่างประเทศเพื่อการค้าและการพัฒนา (องค์การมหาชน)
กระทรวงมหาดไทย,สำนักงานปลัดกระทรวงมหาดไทย
กระทรวงมหาดไทย,กรมการปกครอง
กระทรวงมหาดไทย,กรมการพัฒนาชุมชน
กระทรวงมหาดไทย,กรมที่ดิน
กระทรวงมหาดไทย,กรมป้องกันและบรรเทาสาธารณภัย
กระทรวงมหาดไทย,กรมโยธาธิการและผังเมือง
กระทรวงมหาดไทย,กรมส่งเสริมการปกครองท้องถิ่น
กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม
กระทรวงยุติธรรม,กรมคุมประพฤติ
กระทรวงยุติธรรม,กรมคุ้มครองสิทธิและเสรีภาพ
กระทรวงยุติธรรม,กรมบังคับคดี
กระทรวงยุติธรรม,กรมพินิจและคุ้มครองเด็กและเยาวชน
กระทรวงยุติธรรม,กรมราชทัณฑ์
กระทรวงยุติธรรม,กรมสอบสวนคดีพิเศษ
กระทรวงยุติธรรม,สำนักงานกิจการยุติธรรม
กระทรวงยุติธรรม,สถาบันนิติวิทยาศาสตร์
กระทรวงยุติธรรม,สำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติด
กระทรวงยุติธรรม,สถาบันเพื่อการยุติธรรมแห่งประเทศไทย (องค์การมหาชน)
กระทรวงยุติธรรม,สถาบันอนุญาโตตุลาการ
กระทรวงแรงงาน,สำนักงานปลัดกระทรวงแรงงาน
กระทรวงแรงงาน,กรมการจัดหางาน
กระทรวงแรงงาน,กรมพัฒนาฝีมือแรงงาน
กระทรวงแรงงาน,กรมสวัสดิการและคุ้มครองแรงงาน
กระทรวงแรงงาน,สำนักงานประกันสังคม
กระทรวงแรงงาน,สถาบันส่งเสริมความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน (องค์การมหาชน)
กระทรวงวัฒนธรรม,สำนักงานปลัดกระทรวงวัฒนธรรม
กระทรวงวัฒนธรรม,กรมการศาสนา
กระทรวงวัฒนธรรม,กรมศิลปากร
กระทรวงวัฒนธรรม,กรมส่งเสริมวัฒนธรรม
กระทรวงวัฒนธรรม,สำนักงานศิลปวัฒนธรรมร่วมสมัย
กระทรวงวัฒนธรรม,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน)
กระทรวงวัฒนธรรม,สถาบันบัณฑิตพัฒนศิลป์
กระทรวงวัฒนธรรม,หอภาพยนตร์ (องค์การมหาชน)
กระทรวงวัฒนธรรม,ศูนย์คุณธรรม (องค์การมหาชน)
กระทรวงศึกษาธิการ,สํานักงานปลัดกระทรวงศึกษาธิการ
กระทรวงศึกษาธิการ,สำนักงานเลขาธิการสภาการศึกษา
กระทรวงศึกษาธิการ,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน
กระทรวงศึกษาธิการ,สำนักงานคณะกรรมการการอาชีวศึกษา
กระทรวงศึกษาธิการ,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี
กระทรวงศึกษาธิการ,โรงเรียนมหิดลวิทยานุสรณ์
กระทรวงศึกษาธิการ,สำนักงานเลขาธิการคุรุสภา
กระทรวงศึกษาธิการ,สำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา
กระทรวงศึกษาธิการ,สถาบันทดสอบทางการศึกษาแห่งชาติ (องค์การมหาชน)
กระทรวงศึกษาธิการ,สำนักงานรับรองมาตรฐานและประเมินคุณภาพการศึกษา (องค์การมหาชน)
กระทรวงศึกษาธิการ,กรมส่งเสริมการเรียนรู้
กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข
กระทรวงสาธารณสุข,กรมการแพทย์
กระทรวงสาธารณสุข,กรมควบคุมโรค
กระทรวงสาธารณสุข,กรมการแพทย์แผนไทยและการแพทย์ทางเลือก
กระทรวงสาธารณสุข,กรมวิทยาศาสตร์การแพทย์
กระทรวงสาธารณสุข,กรมสนับสนุนบริการสุขภาพ
กระทรวงสาธารณสุข,กรมสุขภาพจิต
กระทรวงสาธารณสุข,กรมอนามัย
กระทรวงสาธารณสุข,สำนักงานคณะกรรมการอาหารและยา
กระทรวงสาธารณสุข,สถาบันวิจัยระบบสาธารณสุข
กระทรวงสาธารณสุข,โรงพยาบาลบ้านแพ้ว (องค์การมหาชน)
กระทรวงสาธารณสุข,สำนักงานหลักประกันสุขภาพแห่งชาติ
กระทรวงสาธารณสุข,สถาบันการแพทย์ฉุกเฉินแห่งชาติ
กระทรวงสาธารณสุข,สถาบันรับรองคุณภาพสถานพยาบาล (องค์การมหาชน)
กระทรวงสาธารณสุข,สถาบันวัคซีนแห่งชาติ
กระทรวงสาธารณสุข,สถาบันพระบรมราชชนก
กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม
กระทรวงอุตสาหกรรม,กรมโรงงานอุตสาหกรรม
กระทรวงอุตสาหกรรม,กรมส่งเสริมอุตสาหกรรม
กระทรวงอุตสาหกรรม,กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่
กระทรวงอุตสาหกรรม,สำนักงานคณะกรรมการอ้อยและน้ำตาลทราย
กระทรวงอุตสาหกรรม,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม
กระทรวงอุตสาหกรรม,สำนักงานเศรษฐกิจอุตสาหกรรม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม 
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,กรมวิทยาศาสตร์บริการ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานการวิจัยแห่งชาติ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานปรมาณูเพื่อสันติ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยรามคำแหง
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยสุโขทัยธรรมาธิราช
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยนเรศวร
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยอุบลราชธานี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยมหาสารคาม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยกาฬสินธุ์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันเทคโนโลยีปทุมวัน
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยนราธิวาสราชนครินทร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยนครพนม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันวิทยาลัยชุมชน
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏเชียงราย
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏเชียงใหม่
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏลำปาง
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏอุตรดิตถ์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏกำแพงเพชร
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏนครสวรรค์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏพิบูลสงคราม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏเพชรบูรณ์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏมหาสารคาม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏเลย
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏสกลนคร
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏอุดรธานี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏนครราชสีมา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏบุรีรัมย์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏสุรินทร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏอุบลราชธานี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏราชนครินทร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏเทพสตรี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์ จังหวัดปทุมธานี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏรำไพพรรณี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏกาญจนบุรี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏนครปฐม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏเพชรบุรี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏนครศรีธรรมราช
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏภูเก็ต
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏยะลา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏสงขลา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏจันทรเกษม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏธนบุรี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏพระนคร
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏสวนสุนันทา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏชัยภูมิ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏร้อยเอ็ด
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยราชภัฏศรีสะเกษ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันเทคโนโลยีนิวเคลียร์แห่งชาติ (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันวิจัยแสงซินโครตรอน (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันวิจัยดาราศาสตร์แห่งชาติ (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานนวัตกรรมแห่งชาติ (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ศูนย์ความเป็นเลิศด้านชีววิทยาศาสตร์ (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สถาบันมาตรวิทยาแห่งชาติ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานสภานโยบายการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรมแห่งชาติ
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,สำนักงานคณะกรรมการส่งเสริมวิทยาศาสตร์  วิจัยและนวัตกรรม
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,จุฬาลงกรณ์มหาวิทยาลัย
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยเกษตรศาสตร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยขอนแก่น
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยธรรมศาสตร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยสงขลานครินทร์
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,มหาวิทยาลัยแม่โจ้
